iter	Logloss
0	0.6931250252
1	0.6930904222
2	0.6930595898
3	0.6930283538
4	0.6929926516
5	0.6929485456
6	0.6929131356
7	0.6928789778
8	0.6928659547
9	0.6928404372
10	0.6927898058
11	0.6927638013
12	0.6927474668
13	0.6927101785
14	0.6926740867
15	0.6926290485
16	0.692602404
17	0.692556378
18	0.6925390834
19	0.6924990819
20	0.692456576
21	0.6924293332
22	0.6924011026
23	0.692358861
24	0.6923274581
25	0.6922845487
26	0.6922605895
27	0.6922350303
28	0.6922012621
29	0.6921765655
30	0.6921573927
31	0.692145427
32	0.6921266854
33	0.692097773
34	0.6920481016
35	0.6920268556
36	0.6920085315
37	0.6919808991
38	0.6919573435
39	0.6919319651
40	0.6919072407
41	0.6918947464
42	0.6918765335
43	0.6918302013
44	0.6918003846
45	0.6917666859
46	0.6917338917
47	0.6917076646
48	0.6916876847
49	0.6916512034
50	0.6916263537
51	0.6916067913
52	0.6915905959
53	0.6915595269
54	0.6915358043
55	0.691494968
56	0.6914845328
57	0.6914704105
58	0.6914349449
59	0.6914234244
60	0.6913998131
61	0.6913825603
62	0.6913266695
63	0.6912914682
64	0.6912771094
65	0.6912523433
66	0.6912290937
67	0.6911849738
68	0.6911568545
69	0.691129417
70	0.6911131938
71	0.6910927965
72	0.691062131
73	0.691036377
74	0.69101367
75	0.6909964172
76	0.6909522138
77	0.6909188769
78	0.6908817695
79	0.6908509092
80	0.6908335312
81	0.6907698766
82	0.6907582171
83	0.6907467523
84	0.6907133876
85	0.6906867848
86	0.6906507765
87	0.690624786
88	0.6906075471
89	0.6905755737
90	0.6905528668
91	0.6905325947
92	0.6905071747
93	0.6904604529
94	0.6904334189
95	0.6904165139
96	0.6903859319
97	0.6903508419
98	0.6903214008
99	0.6902565636
100	0.6902212649
101	0.6901889437
102	0.6901189028
103	0.6901045301
104	0.6900617459
105	0.6900364232
106	0.6900080952
107	0.6899738539
108	0.6899398353
109	0.6898984981
110	0.6898807444
111	0.6898605001
112	0.6898116774
113	0.6897760587
114	0.6897518909
115	0.6897139486
116	0.6896880137
117	0.6896482905
118	0.6896093325
119	0.689567564
120	0.6895354237
121	0.689497384
122	0.6894453612
123	0.6894031892
124	0.6893484115
125	0.6892953591
126	0.6892504322
127	0.6892144239
128	0.689181407
129	0.6891339061
130	0.6890955464
131	0.689071796
132	0.6890436906
133	0.6890186879
134	0.6889861997
135	0.6889479513
136	0.6889192894
137	0.6888545079
138	0.688788001
139	0.6887575025
140	0.6887263779
141	0.6886808805
142	0.6886491576
143	0.6885980253
144	0.6885683059
145	0.6885277896
146	0.6885015486
147	0.6884651786
148	0.6884290729
149	0.6883840903
150	0.6883519778
151	0.6883072179
152	0.6882653103
153	0.6882133431
154	0.6881760548
155	0.6881246302
156	0.6880789798
157	0.6880449612
158	0.6880120695
159	0.6879710662
160	0.6879172068
161	0.6878748401
162	0.6878544706
163	0.6878117003
164	0.6877793513
165	0.6877308069
166	0.6877104096
167	0.687676377
168	0.6876126112
169	0.6875824048
170	0.6875325386
171	0.6874807802
172	0.6874388725
173	0.6874224823
174	0.6873771519
175	0.6873450394
176	0.6873124539
177	0.6872875625
178	0.6872594293
179	0.6872222383
180	0.6871707721
181	0.6871258452
182	0.6870837845
183	0.6870498354
184	0.687008053
185	0.6869799337
186	0.686948169
187	0.6869015168
188	0.6868799786
189	0.6868473792
190	0.6868128457
191	0.6867864656
192	0.6867374481
193	0.6866934813
194	0.6866587669
195	0.6866246091
196	0.686606118
197	0.6865587423
198	0.6865061491
199	0.6864703077
200	0.6864401153
201	0.6864146117
202	0.6863966493
203	0.6863663317
204	0.6863473397
205	0.6863115679
206	0.6862832816
207	0.6862434749
208	0.6862140756
209	0.6861656425
210	0.6861269767
211	0.6860932919
212	0.6860502573
213	0.6859926134
214	0.6859598191
215	0.6859079216
216	0.6858598919
217	0.6858302004
218	0.6858139633
219	0.685782296
220	0.6857440615
221	0.6856996634
222	0.6856679683
223	0.6856484614
224	0.6856202865
225	0.685608933
226	0.6855621278
227	0.6855299596
228	0.68550511
229	0.6854658042
230	0.6854290028
231	0.6853775644
232	0.6853560262
233	0.6853315244
234	0.685298591
235	0.6852690804
236	0.6852346721
237	0.6851976342
238	0.6851642695
239	0.6851215549
240	0.6850849483
241	0.6850494965
242	0.6849998668
243	0.6849542304
244	0.6849335826
245	0.6848982283
246	0.6848495308
247	0.6848126042
248	0.6847805752
249	0.6847348135
250	0.684689984
251	0.684656661
252	0.6846254251
253	0.6845771311
254	0.6845403019
255	0.6845113756
256	0.6844801257
257	0.6844511299
258	0.6844112258
259	0.6843655336
260	0.6843289271
261	0.6842937118
262	0.6842668448
263	0.6842272468
264	0.684208533
265	0.6841809146
266	0.6841395078
267	0.6841098859
268	0.6840581274
269	0.6840127275
270	0.6839777905
271	0.6839435353
272	0.6839009181
273	0.6838713378
274	0.6838262301
275	0.683775056
276	0.6837500116
277	0.6837036933
278	0.6836674485
279	0.6836473712
280	0.6836131578
281	0.6835953067
282	0.6835699562
283	0.6835382472
284	0.6835005553
285	0.6834738135
286	0.6834459168
287	0.6834089763
288	0.6833566056
289	0.6833176198
290	0.6832867456
291	0.6832326914
292	0.6832008433
293	0.6831763693
294	0.683140528
295	0.6831105304
296	0.683074049
297	0.6830473906
298	0.683014485
299	0.6829837361
300	0.6829521384
301	0.6829301828
302	0.6828895413
303	0.6828699788
304	0.6828569835
305	0.682820697
306	0.6827734465
307	0.6827283387
308	0.6826894086
309	0.6826546525
310	0.6826141223
311	0.6825787679
312	0.6825305575
313	0.6824928517
314	0.6824641202
315	0.6824302268
316	0.6824046954
317	0.6823848825
318	0.6823681027
319	0.6823372146
320	0.6823048934
321	0.6822604396
322	0.682226727
323	0.6821950041
324	0.6821681787
325	0.6821245736
326	0.6820951464
327	0.6820780745
328	0.6820455168
329	0.681944393
330	0.681919933
331	0.6818870274
332	0.6818568628
333	0.6818189344
334	0.6818020155
335	0.6817669673
336	0.6817489353
337	0.6816925436
338	0.6816642017
339	0.6816265655
340	0.6815895415
341	0.6815691442
342	0.6815164814
343	0.6814916179
344	0.6814719024
345	0.6814505172
346	0.6814150098
347	0.6813838017
348	0.6813510492
349	0.6813160844
350	0.6812403807
351	0.6812148215
352	0.6811698807
353	0.6811540053
354	0.6811203484
355	0.6810915612
356	0.6810652229
357	0.6810385784
358	0.6810076207
359	0.6809791257
360	0.6809441888
361	0.6809086953
362	0.680891359
363	0.6808589543
364	0.6808421467
365	0.6808206085
366	0.6807725233
367	0.6807273459
368	0.6806823912
369	0.680659086
370	0.6806300066
371	0.6806068545
372	0.6805869581
373	0.6805471514
374	0.6805194773
375	0.6804848882
376	0.6804474051
377	0.6803812878
378	0.6803570921
379	0.6803134035
380	0.6802854651
381	0.6802537978
382	0.6802290595
383	0.680198241
384	0.6801631232
385	0.6801409032
386	0.6801078028
387	0.6800859029
388	0.6800682327
389	0.6800500894
390	0.680028092
391	0.6799937812
392	0.679968695
393	0.6799542389
394	0.6798892764
395	0.6798622841
396	0.6798335526
397	0.679804835
398	0.6797556784
399	0.6797168596
400	0.6796894499
401	0.6796682873
402	0.6796473335
403	0.6796199238
404	0.6796113948
405	0.6795795745
406	0.6795453054
